Utterance,Sentiment,cleanText,prediction
元彬,negative,元彬,"{'label': 'negative', 'score': 0.7709869146347046}"
你难道都没有发现他以前的下巴不是很立体吗,neutral,你 难道 都 没有 发现 他 以前 的 下巴 不是 很 立体 吗,"{'label': 'positive', 'score': 0.7031103372573853}"
你这样的 还挑起人家元彬,negative,你 这样 的 还 挑起 人家 元彬,"{'label': 'negative', 'score': 0.9517756700515747}"
人家至少没有不对称,negative,人家 至少 没有 不 对称,"{'label': 'negative', 'score': 0.7742220163345337}"
你别生气啊,negative,你 别 生气 啊,"{'label': 'negative', 'score': 0.6920372247695923}"
听他们说您是拍片子的,positive,听 他们 说 您 是 拍 片子 的,"{'label': 'neutral', 'score': 0.5503020882606506}"
我是一菲的好朋友,positive,我 是 一 菲 的 好 朋友,"{'label': 'negative', 'score': 0.4350673258304596}"
唐悠悠可算是找到你了,positive,唐悠悠 可 算是 找到 你 了,"{'label': 'neutral', 'score': 0.5514423251152039}"
真遗憾,negative,真 遗憾,"{'label': 'negative', 'score': 0.7849180698394775}"
一菲生前都没见到最后一面,negative,一 菲 生前 都 没 见到 最后 一面,"{'label': 'negative', 'score': 0.8739978671073914}"
说来已经有三年了,negative,说来 已经 有 三年 了,"{'label': 'neutral', 'score': 0.5017486810684204}"
没事以后有机会,positive,没事 以后 有 机会,"{'label': 'neutral', 'score': 0.4853726923465729}"
作为他的老同学,positive,作为 他 的 老 同学,"{'label': 'neutral', 'score': 0.7678171396255493}"
你会不会专程拍部片子纪念他,positive,你 会 不 会 专程 拍部 片子 纪念 他,"{'label': 'positive', 'score': 0.5589256882667542}"
我是演员,positive,我 是 演员,"{'label': 'negative', 'score': 0.6025049686431885}"
你可以找我,positive,你 可以 找 我,"{'label': 'neutral', 'score': 0.7203084230422974}"
拍片子,positive,拍 片子,"{'label': 'negative', 'score': 0.7562862634658813}"
如果一菲生身前肯听我的话,negative,如果 一 菲 生身 前 肯 听 我 的话,"{'label': 'negative', 'score': 0.43267571926116943}"
到我这拍个片子,negative,到 我 这 拍 个 片子,"{'label': 'negative', 'score': 0.5504876375198364}"
也许现在就不会这样了,negative,也许 现在 就 不 会 这样 了,"{'label': 'negative', 'score': 0.8512035012245178}"
你还邀请过他,negative,你 还 邀请 过 他,"{'label': 'positive', 'score': 0.566674530506134}"
我找过他很多次,negative,我 找 过 他 很多 次,"{'label': 'negative', 'score': 0.7821104526519775}"
他都没空拍,negative,他 都 没空 拍,"{'label': 'negative', 'score': 0.5736044049263}"
可他专业不对口,negative,可 他 专业 不 对口,"{'label': 'negative', 'score': 0.8479353785514832}"
拍片子这种事还得找我,positive,拍 片子 这种 事 还 得 找 我,"{'label': 'negative', 'score': 0.91110759973526}"
我很专业,positive,我 很 专业,"{'label': 'neutral', 'score': 0.6788622140884399}"
也行,negative,也 行,"{'label': 'neutral', 'score': 0.768318772315979}"
反正我们那收费不贵,negative,反正 我们 那 收费 不 贵,"{'label': 'neutral', 'score': 0.6746200323104858}"
收费,negative,收费,"{'label': 'neutral', 'score': 0.7003042697906494}"
这是新的潜规则吗,negative,这是 新 的 潜规则 吗,"{'label': 'negative', 'score': 0.8629665374755859}"
就算我不是明星,negative,就算 我 不是 明星,"{'label': 'negative', 'score': 0.3939669132232666}"
也不至于倒贴,negative,也 不至于 倒贴,"{'label': 'neutral', 'score': 0.7899425029754639}"
谁来拍都得收费,neutral,谁 来 拍 都 得 收费,"{'label': 'negative', 'score': 0.7463024854660034}"
这是规定,neutral,这是 规定,"{'label': 'negative', 'score': 0.6448726058006287}"
好吧,negative,好 吧,"{'label': 'neutral', 'score': 0.4061230421066284}"
只要能多拍收费就收费,negative,只要 能 多 拍 收费 就 收费,"{'label': 'negative', 'score': 0.6123629212379456}"
这哪能多拍 x光是有辐射的,negative,这 哪 能 多 拍 x光 是 有 辐射 的,"{'label': 'negative', 'score': 0.945385217666626}"
X光,negative,X光,"{'label': 'neutral', 'score': 0.4867159128189087}"
我是日光医院放射科副主任,neutral,我 是 日光 医院 放射科 副主任,"{'label': 'neutral', 'score': 0.6449207663536072}"
我姓王,neutral,我 姓 王,"{'label': 'neutral', 'score': 0.558747410774231}"
如果有需要随时来找我拍片子,neutral,如果 有 需要 随时 来 找 我 拍 片子,"{'label': 'neutral', 'score': 0.7499538064002991}"
医生你好,negative,医生 你好,"{'label': 'neutral', 'score': 0.5065250992774963}"
医生再见,negative,医生 再见,"{'label': 'neutral', 'score': 0.5445233583450317}"
对不起 您这是红花油,neutral,对不起 您 这是 红花油,"{'label': 'negative', 'score': 0.6328240036964417}"
这是祖传秘制的,neutral,这是 祖传 秘制 的,"{'label': 'positive', 'score': 0.7592445015907288}"
跌打酒80一瓶哦,neutral,跌 打酒 80一 瓶 哦,"{'label': 'positive', 'score': 0.4903440475463867}"
太好了,neutral,太 好 了,"{'label': 'positive', 'score': 0.7777321338653564}"
正好80给我一瓶,neutral,正好 80 给 我 一 瓶,"{'label': 'neutral', 'score': 0.5675012469291687}"
兄弟 真识货呀 自己用,positive,兄弟 真 识货 呀 自己 用,"{'label': 'neutral', 'score': 0.5071340799331665}"
给朋友买的,positive,给 朋友 买 的,"{'label': 'positive', 'score': 0.6727141737937927}"
是这样啊,positive,是 这样 啊,"{'label': 'neutral', 'score': 0.6081243753433228}"
兄弟,neutral,兄弟,"{'label': 'negative', 'score': 0.5143780708312988}"
要不再多买两瓶早晚用得到,neutral,要不 再 多 买 两 瓶 早晚 用 得到,"{'label': 'positive', 'score': 0.5059724450111389}"
为什么,negative,为什么,"{'label': 'negative', 'score': 0.5365131497383118}"
我目测你印堂发黑 眉间有煞 不日将有血光之灾啊,neutral,我 目测 你 印堂 发黑 眉间 有 煞 不日 将 有 血光之灾 啊,"{'label': 'neutral', 'score': 0.4013855755329132}"
啊呸,negative,啊 呸,"{'label': 'negative', 'score': 0.8882306218147278}"
你卖你的药酒干嘛没事咒我,negative,你 卖 你 的 药酒干 嘛 没事咒 我,"{'label': 'negative', 'score': 0.929833710193634}"
忠言逆耳 老夫能胡说吗,neutral,忠言 逆耳 老夫 能 胡说 吗,"{'label': 'negative', 'score': 0.7200030088424683}"
你还兼职算命啊,negative,你 还 兼职 算命 啊,"{'label': 'positive', 'score': 0.5913986563682556}"
难得有缘人免费帮你算算如何,neutral,难得 有 缘 人 免费 帮 你 算算 如何,"{'label': 'positive', 'score': 0.8024079203605652}"
免费,negative,免费,"{'label': 'positive', 'score': 0.418753981590271}"
你说的哦,positive,你 说 的 哦,"{'label': 'neutral', 'score': 0.5240143537521362}"
兄弟 你的皮肤很干,neutral,兄弟 你 的 皮肤 很 干,"{'label': 'neutral', 'score': 0.7798285484313965}"
用用这款雪花膏20一罐,neutral,用用 这 款 雪花膏 20一 罐,"{'label': 'positive', 'score': 0.7574284076690674}"
好谢谢,neutral,好 谢谢,"{'label': 'positive', 'score': 0.44978663325309753}"
啊 你推销啊,negative,啊 你 推销 啊,"{'label': 'neutral', 'score': 0.5052593350410461}"
不好意思习惯了,neutral,不好意思 习惯 了,"{'label': 'positive', 'score': 0.4739952087402344}"
诶呀 兄弟,neutral,诶 呀 兄弟,"{'label': 'negative', 'score': 0.6010894775390625}"
看你的手相这几年你命犯桃花,neutral,看 你 的 手相 这几年 你 命犯 桃花,"{'label': 'neutral', 'score': 0.46145573258399963}"
不要高兴,neutral,不要 高兴,"{'label': 'neutral', 'score': 0.48902833461761475}"
这是典型的桃花劫,neutral,这是 典型 的 桃花劫,"{'label': 'neutral', 'score': 0.8767943382263184}"
我看你不日的血光之灾就跟这桃花劫有关,neutral,我 看 你 不日 的 血光之灾 就 跟 这 桃花劫 有关,"{'label': 'negative', 'score': 0.5313200950622559}"
你才血光之灾呢,negative,你 才 血光之灾 呢,"{'label': 'negative', 'score': 0.936775267124176}"
不信就算了,neutral,不 信 就 算了,"{'label': 'neutral', 'score': 0.48225900530815125}"
你把药酒给我,negative,你 把 药酒 给 我,"{'label': 'neutral', 'score': 0.40106427669525146}"
你还没付钱,negative,你 还 没 付钱,"{'label': 'negative', 'score': 0.7442231774330139}"
我给了你80了,negative,我 给 了 你 80 了,"{'label': 'negative', 'score': 0.7805447578430176}"
那是算命钱,neutral,那 是 算命 钱,"{'label': 'neutral', 'score': 0.5061022639274597}"
这不是说免费的吗,negative,这不 是 说 免费 的 吗,"{'label': 'positive', 'score': 0.45499011874198914}"
我去 你坑爹啊,negative,我 去 你 坑爹 啊,"{'label': 'negative', 'score': 0.8968543410301208}"
药酒钱再付80,neutral,药酒 钱 再 付 80,"{'label': 'neutral', 'score': 0.6715949177742004}"
我没带钱包就这么多了,negative,我 没 带 钱包 就 这么 多 了,"{'label': 'negative', 'score': 0.7293416261672974}"
那我爱莫能助了,neutral,那 我 爱莫能助 了,"{'label': 'negative', 'score': 0.9344605803489685}"
要不然你就说你信了,neutral,要不然 你 就说 你 信 了,"{'label': 'negative', 'score': 0.6276276111602783}"
这药我就给你,neutral,这 药 我 就 给 你,"{'label': 'neutral', 'score': 0.5540583729743958}"
这对你来说有差别吗,negative,这 对 你 来说 有 差别 吗,"{'label': 'neutral', 'score': 0.5250105261802673}"
我靠 你以为我是江湖骗子,negative,我 靠 你 以为 我 是 江湖 骗子,"{'label': 'negative', 'score': 0.8986154794692993}"
我们知识分子有节操,negative,我们 知识分子 有 节操,"{'label': 'negative', 'score': 0.9092735052108765}"
我才不会为了80块钱相信你的血光之灾,negative,我 才 不 会 为了 80 块钱 相信 你 的 血光之灾,"{'label': 'negative', 'score': 0.9020071625709534}"
你做梦,negative,你 做梦,"{'label': 'negative', 'score': 0.5478840470314026}"
不勉强,neutral,不 勉强,"{'label': 'neutral', 'score': 0.4665893316268921}"
有缘再见,neutral,有缘 再见,"{'label': 'positive', 'score': 0.5991095304489136}"
你把药酒给我,negative,你 把 药酒 给 我,"{'label': 'neutral', 'score': 0.40106427669525146}"
不行,negative,不行,"{'label': 'negative', 'score': 0.7749330401420593}"
你站住 不能走,negative,你 站住 不 能 走,"{'label': 'negative', 'score': 0.9608970284461975}"
我告诉你我们都是斯文人,negative,我 告诉 你 我们 都 是 斯文人,"{'label': 'negative', 'score': 0.6921484470367432}"
什么斯文人,negative,什么 斯文人,"{'label': 'negative', 'score': 0.8943146467208862}"
来人啊 抓骗子,negative,来人 啊 抓 骗子,"{'label': 'neutral', 'score': 0.4875123202800751}"
泡个澡真舒服,positive,泡 个 澡 真 舒服,"{'label': 'positive', 'score': 0.7816610932350159}"
鉴于本姑娘心情大好,positive,鉴于 本姑娘 心情 大好,"{'label': 'positive', 'score': 0.5883813500404358}"
我不生你气了,positive,我 不 生 你 气 了,"{'label': 'negative', 'score': 0.8067800998687744}"
真的吗,positive,真的 吗,"{'label': 'negative', 'score': 0.5226017236709595}"
但是为了惩罚你之前迟疑了一秒的过失,neutral,但是 为了 惩罚 你 之前 迟疑 了 一 秒 的 过失,"{'label': 'neutral', 'score': 0.7198697924613953}"
我决定了订婚party就由你来负责了,positive,我 决定 了 订婚 party 就 由 你 来 负责 了,"{'label': 'positive', 'score': 0.5948647856712341}"
不过,neutral,不过,"{'label': 'neutral', 'score': 0.3972371816635132}"
又有意见啊,neutral,又 有 意见 啊,"{'label': 'neutral', 'score': 0.6648038625717163}"
怎么会 老婆大人都开口了,positive,怎么 会 老婆 大人 都 开口 了,"{'label': 'negative', 'score': 0.7834097743034363}"
这个party一定要办得热热闹闹,positive,这个 party 一定 要 办 得 热热闹闹,"{'label': 'positive', 'score': 0.8402266502380371}"
只是我有件事情还没想通,negative,只是 我 有 件 事情 还 没 想通,"{'label': 'neutral', 'score': 0.49521586298942566}"
什么事,negative,什么 事,"{'label': 'neutral', 'score': 0.5672595500946045}"
关于展博说的那个验孕棒,negative,关于 展博 说 的 那个 验孕 棒,"{'label': 'negative', 'score': 0.5789215564727783}"
他为什么会出现在我们的厕所里,negative,他 为什么 会 出现 在 我们 的 厕所 里,"{'label': 'negative', 'score': 0.7821208238601685}"
你见过那东西吗,negative,你 见 过 那 东西 吗,"{'label': 'negative', 'score': 0.5007500052452087}"
没有,negative,没有,"{'label': 'negative', 'score': 0.44834813475608826}"
但是我在电话里听得真真的,negative,但是 我 在 电话 里 听 得 真 真的,"{'label': 'negative', 'score': 0.5067547559738159}"
我不相信空穴来风,negative,我 不 相信 空穴来风,"{'label': 'neutral', 'score': 0.5639330744743347}"
如果这个验孕棒是真的,negative,如果 这个 验孕棒 是 真 的,"{'label': 'neutral', 'score': 0.5073041319847107}"
那就说明在公寓里一定有人怀孕了,negative,那 就 说明 在 公寓 里 一定 有人 怀孕 了,"{'label': 'neutral', 'score': 0.6756867170333862}"
一开始我也怀疑过,negative,一开始 我 也 怀疑 过,"{'label': 'negative', 'score': 0.6768066883087158}"
不过瞬间就排除了,negative,不过 瞬间 就 排除 了,"{'label': 'neutral', 'score': 0.6193540692329407}"
一菲刚打过球还崴了脚,negative,一 菲 刚 打 过球 还 崴 了 脚,"{'label': 'neutral', 'score': 0.398895263671875}"
完全不像 美嘉是发现者更不可能了,negative,完全 不 像 美嘉 是 发现者 更 不 可能 了,"{'label': 'negative', 'score': 0.6442274451255798}"
你还真怀疑男生,negative,你 还 真 怀疑 男生,"{'label': 'negative', 'score': 0.6598036885261536}"
难道是子乔带回来的哪个妹子,positive,难道 是 子乔 带 回来 的 哪个 妹子,"{'label': 'negative', 'score': 0.8336033225059509}"
那也没道理丢在我们的垃圾桶里,negative,那 也 没 道理 丢 在 我们 的 垃圾桶 里,"{'label': 'negative', 'score': 0.7987175583839417}"
可能真的只是个恶作剧而已了,negative,可能 真的 只是 个 恶作剧 而已 了,"{'label': 'negative', 'score': 0.870692253112793}"
就算是恶作剧要查出真相,negative,就算是 恶作剧 要 查出 真相,"{'label': 'negative', 'score': 0.8967345356941223}"
我总觉得这件事情的背后另有隐情,negative,我 总 觉得 这 件 事情 的 背后 另 有 隐情,"{'label': 'neutral', 'score': 0.6908448338508606}"
你还打算挨个去问话,negative,你 还 打算 挨个 去 问话,"{'label': 'negative', 'score': 0.7814063429832458}"
谁会承认,negative,谁 会 承认,"{'label': 'negative', 'score': 0.8008227348327637}"
谁会承认啊,negative,谁 会 承认 啊,"{'label': 'negative', 'score': 0.5348068475723267}"
或者 我自己去找线索,negative,或者 我 自己 去 找 线索,"{'label': 'negative', 'score': 0.8213618397712708}"
拜托你现在的首要任务是要把party办好,negative,拜托 你 现在 的 首要 任务 是 要 把 party 办好,"{'label': 'neutral', 'score': 0.5042079091072083}"
不用你破案,negative,不用 你 破案,"{'label': 'negative', 'score': 0.6112212538719177}"
柯南君,positive,柯南君,"{'label': 'negative', 'score': 0.5327187180519104}"
人家想不通难受啊,negative,人家 想 不通 难受 啊,"{'label': 'negative', 'score': 0.7229887247085571}"
我一天不抓到这个怀孕犯,negative,我 一 天 不 抓到 这个 怀孕犯,"{'label': 'negative', 'score': 0.9086331129074097}"
我一天睡不着,negative,我 一 天 睡 不 着,"{'label': 'negative', 'score': 0.8124009966850281}"
亲爱的,negative,亲爱 的,"{'label': 'negative', 'score': 0.5228843092918396}"
这个Party就稍微耽搁一下,negative,这个 Party 就 稍微 耽搁 一下,"{'label': 'neutral', 'score': 0.7154439091682434}"
就三天我已经顺藤摸瓜找出真相,negative,就 三 天 我 已经 顺藤摸瓜 找出 真相,"{'label': 'negative', 'score': 0.5512112379074097}"
三天啊 好吧,negative,三 天 啊 好 吧,"{'label': 'neutral', 'score': 0.8255841732025146}"
不过你的藤呢,negative,不过 你 的 藤 呢,"{'label': 'positive', 'score': 0.48387470841407776}"
我的藤就在 这里,neutral,我 的 藤 就 在 这里,"{'label': 'positive', 'score': 0.8262159824371338}"
一张手纸,neutral,一 张 手纸,"{'label': 'neutral', 'score': 0.7957177758216858}"
一张快递单 半块被咬过的巧克力,neutral,一 张 快递单 半块 被 咬 过 的 巧克力,"{'label': 'negative', 'score': 0.7545040249824524}"
没道理啊,negative,没 道理 啊,"{'label': 'neutral', 'score': 0.4820205867290497}"
什么没道理,negative,什么 没 道理,"{'label': 'negative', 'score': 0.733750581741333}"
那么久没有倒过的垃圾桶,negative,那么 久 没有 倒 过 的 垃圾桶,"{'label': 'neutral', 'score': 0.6003209948539734}"
只剩一张手纸,negative,只 剩 一 张 手纸,"{'label': 'negative', 'score': 0.48902809619903564}"
那你能查到什么呢,negative,那 你 能 查到 什么 呢,"{'label': 'neutral', 'score': 0.6595503091812134}"
我觉得怀孕犯 既然在里面丢过验孕棒,negative,我 觉得 怀孕犯 既然 在 里面 丢 过 验孕 棒,"{'label': 'neutral', 'score': 0.6962679028511047}"
那说明他也在里面丢过其他的垃圾,negative,那 说明 他 也 在 里面 丢 过 其他 的 垃圾,"{'label': 'neutral', 'score': 0.7314499020576477}"
所以我决定先从这张用过的手纸开始调查,negative,所以 我 决定 先 从 这 张 用 过 的 手纸 开始 调查,"{'label': 'neutral', 'score': 0.9122291207313538}"
你要死啊,negative,你 要 死 啊,"{'label': 'negative', 'score': 0.8853250741958618}"
作为侦探 就要有这种不怕脏不怕死的精神,neutral,作为 侦探 就要 有 这种 不怕 脏 不怕 死 的 精神,"{'label': 'neutral', 'score': 0.5119937658309937}"
神探先生,negative,神探 先生,"{'label': 'negative', 'score': 0.5175749063491821}"
你不觉得先从这张快递单查起会比较容易吗,negative,你 不 觉得 先 从 这 张 快 递单 查起 会 比较 容易 吗,"{'label': 'neutral', 'score': 0.8034541606903076}"
有道理啊,positive,有 道理 啊,"{'label': 'neutral', 'score': 0.7408303618431091}"
这是京东的快递单,negative,这是 京东 的 快递单,"{'label': 'negative', 'score': 0.5545119047164917}"
这是谁的,negative,这是 谁 的,"{'label': 'negative', 'score': 0.5921419858932495}"
曾老师 子乔还有我,neutral,曾 老师 子乔 还有 我,"{'label': 'neutral', 'score': 0.46002650260925293}"
还有我 最近都穷得没钱网购,neutral,还有 我 最近 都 穷 得 没钱 网购,"{'label': 'positive', 'score': 0.6693853735923767}"
这里貌似只有你最可疑吧,negative,这里 貌似 只有 你 最 可疑 吧,"{'label': 'neutral', 'score': 0.5266348719596863}"
可我最近真的没有买过东西,negative,可 我 最近 真的 没有 买 过 东西,"{'label': 'neutral', 'score': 0.3811001777648926}"
我有一种强烈的直觉,neutral,我 有 一 种 强烈 的 直觉,"{'label': 'neutral', 'score': 0.8005689382553101}"
这一定就是那个怀孕犯用来买验孕棒的快递单,neutral,这 一定 就是 那个 怀孕 犯用 来 买验 孕棒 的 快递单,"{'label': 'negative', 'score': 0.6138695478439331}"
快看看收件人是谁啊,neutral,快 看看 收件人 是 谁 啊,"{'label': 'neutral', 'score': 0.49358293414115906}"
这不是大师吗,neutral,这不 是 大师 吗,"{'label': 'positive', 'score': 0.7993391752243042}"
血光之灾啊,positive,血光之灾 啊,"{'label': 'negative', 'score': 0.8050186038017273}"
怎么啦 卖跌打酒卖到酒吧来了,negative,怎么 啦 卖跌 打 酒 卖 到 酒吧 来 了,"{'label': 'negative', 'score': 0.663835346698761}"
死骗子,negative,死 骗子,"{'label': 'negative', 'score': 0.9249173402786255}"
上次不跟你说过了吗,negative,上次 不 跟 你 说 过 了 吗,"{'label': 'negative', 'score': 0.6175012588500977}"
我是有执照的,negative,我 是 有 执照 的,"{'label': 'positive', 'score': 0.8054426908493042}"
我不是骗子,negative,我 不是 骗子,"{'label': 'negative', 'score': 0.7886260151863098}"
少来你还欠我瓶跌打酒呢,negative,少来 你 还 欠 我 瓶跌 打酒 呢,"{'label': 'negative', 'score': 0.7496524453163147}"
今天休息不谈工作,neutral,今天 休息 不 谈 工作,"{'label': 'neutral', 'score': 0.79121994972229}"
上次你不是说信了就免费,negative,上次 你 不是 说 信 了 就 免费,"{'label': 'negative', 'score': 0.5178446769714355}"
不信就得付钱吗,negative,不 信 就 得 付钱 吗,"{'label': 'neutral', 'score': 0.38397035002708435}"
好,negative,好,"{'label': 'neutral', 'score': 0.47261103987693787}"
现在我信了,negative,现在 我 信 了,"{'label': 'negative', 'score': 0.6985405087471008}"
要么退我80,negative,要么 退 我 80,"{'label': 'negative', 'score': 0.8449354767799377}"
要么给我瓶跌打酒,negative,要么 给 我 瓶跌 打 酒,"{'label': 'negative', 'score': 0.8521757125854492}"
不要难为老夫吗 这样吧 钱那就甭退了,negative,不要 难为 老夫 吗 这样 吧 钱 那 就 甭 退 了,"{'label': 'neutral', 'score': 0.5760234594345093}"
我们交个朋友嘛,positive,我们 交个 朋友 嘛,"{'label': 'neutral', 'score': 0.5741620063781738}"
以后你要什么服务,positive,以后 你 要 什么 服务,"{'label': 'neutral', 'score': 0.6370415687561035}"
我给你免费,positive,我 给 你 免费,"{'label': 'neutral', 'score': 0.4714042842388153}"
这一下总相信我不是坏人了吧,positive,这一下 总 相信 我 不是 坏人 了 吧,"{'label': 'neutral', 'score': 0.5499632358551025}"
不会又是算命吧,negative,不 会 又 是 算命 吧,"{'label': 'neutral', 'score': 0.5590071678161621}"
不算命也行,neutral,不 算命 也 行,"{'label': 'negative', 'score': 0.4156372845172882}"
我可以帮你免费手机贴膜,neutral,我 可以 帮 你 免费 手机 贴膜,"{'label': 'positive', 'score': 0.7802777290344238}"
我不是敲的这扇门吗,negative,我 不是 敲 的 这 扇门 吗,"{'label': 'negative', 'score': 0.9236799478530884}"
怎么这扇门开了,negative,怎么 这 扇 门开 了,"{'label': 'negative', 'score': 0.8648931980133057}"
你是京东快递的,negative,你 是 京东 快递 的,"{'label': 'neutral', 'score': 0.6368822455406189}"
是关谷先生让你来的,negative,是 关谷 先生 让 你 来 的,"{'label': 'neutral', 'score': 0.6836268901824951}"
没人看见你吧,negative,没 人 看见 你 吧,"{'label': 'negative', 'score': 0.5495421886444092}"
你不就是上次那个,negative,你 不 就是 上次 那个,"{'label': 'negative', 'score': 0.5826238989830017}"
你是哪家快递公司的,negative,你 是 哪家 快递 公司 的,"{'label': 'neutral', 'score': 0.5610544681549072}"
叫你来你就来,negative,叫 你 来 你 就 来,"{'label': 'positive', 'score': 0.4415208697319031}"
有人打电话跟我说,negative,有人 打电话 跟 我 说,"{'label': 'negative', 'score': 0.47787705063819885}"
我三天前送的一个快件,negative,我 三 天 前 送 的 一个 快件,"{'label': 'negative', 'score': 0.6932450532913208}"
有问题让我来核对一下,negative,有 问题 让 我 来 核对 一下,"{'label': 'neutral', 'score': 0.711467981338501}"
根本没问题,negative,根本 没 问题,"{'label': 'neutral', 'score': 0.4966246485710144}"
听他蒙你的,negative,听 他 蒙 你 的,"{'label': 'negative', 'score': 0.8281397223472595}"
我记得明明是你签收的,neutral,我 记得 明明 是 你 签收 的,"{'label': 'negative', 'score': 0.6615147590637207}"
怎么是一个男的打电话给我,negative,怎么 是 一个 男的 打电话 给 我,"{'label': 'negative', 'score': 0.9510634541511536}"
难道你只是代收的,negative,难道 你 只是 代收 的,"{'label': 'negative', 'score': 0.47236016392707825}"
胡说,negative,胡说,"{'label': 'negative', 'score': 0.8524096012115479}"
那本来是我的东西,negative,那 本来 是 我 的 东西,"{'label': 'negative', 'score': 0.834168016910553}"
那我得跟那位先生解释清楚,negative,那 我 得 跟 那位 先生 解释 清楚,"{'label': 'neutral', 'score': 0.7410784363746643}"
解释不清楚了,negative,解释 不 清楚 了,"{'label': 'negative', 'score': 0.6701659560203552}"
拿着,negative,拿 着,"{'label': 'neutral', 'score': 0.6338984370231628}"
你这是干嘛,negative,你 这是 干嘛,"{'label': 'negative', 'score': 0.7672710418701172}"
等会要是有人问你,negative,等 会 要是 有人 问 你,"{'label': 'negative', 'score': 0.515642523765564}"
你就说那天把快递放在门口你就走了,negative,你 就说 那天 把 快 递放 在 门口 你 就 走 了,"{'label': 'negative', 'score': 0.7118619084358215}"
从来没有看见过我,negative,从来 没有 看见 过 我,"{'label': 'negative', 'score': 0.8530136346817017}"
明白吗,negative,明白 吗,"{'label': 'negative', 'score': 0.5443118810653687}"
可是我记得那是个到付件按流程付款签收,negative,可是 我 记得 那 是 个 到 付件 按 流程 付款 签收,"{'label': 'neutral', 'score': 0.7632178068161011}"
怎么可能没见着人嘛,negative,怎么 可能 没 见 着 人 嘛,"{'label': 'positive', 'score': 0.4950411021709442}"
这不科学,negative,这不 科学,"{'label': 'negative', 'score': 0.6460988521575928}"
你怎么那么麻烦,negative,你 怎么 那么 麻烦,"{'label': 'negative', 'score': 0.6664992570877075}"
待会问我话的不会是警察吧,negative,待会 问 我 话 的 不 会 是 警察 吧,"{'label': 'negative', 'score': 0.8933236002922058}"
这钱我不能要的,negative,这 钱 我 不 能 要 的,"{'label': 'negative', 'score': 0.8370153307914734}"
你见过这种口音的警察吗,negative,你 见 过 这种 口音 的 警察 吗,"{'label': 'negative', 'score': 0.8732777237892151}"
他调查我 这明显是图谋不轨,negative,他 调查 我 这 明显 是 图谋不轨,"{'label': 'negative', 'score': 0.9448670148849487}"
我一个女孩子 孤身在外 收个快递都被人窥探隐私 快递哥哥 你不会不帮我吧,negative,我 一个 女 孩子 孤身 在外 收个 快递 都 被 人 窥探 隐私 快递 哥哥 你 不 会 不 帮 我 吧,"{'label': 'negative', 'score': 0.8642520308494568}"
对不起,negative,对不起,"{'label': 'negative', 'score': 0.834675133228302}"
我不是故意的,negative,我 不是 故意 的,"{'label': 'negative', 'score': 0.9296389222145081}"
福小姐 你这是要干嘛,negative,福 小姐 你 这是 要 干嘛,"{'label': 'negative', 'score': 0.8303969502449036}"
我也不知道怎么会这样,negative,我 也 不 知道 怎么 会 这样,"{'label': 'negative', 'score': 0.8821831345558167}"
另外我都说了好几遍了,negative,另外 我 都 说 了 好几 遍 了,"{'label': 'negative', 'score': 0.5442355871200562}"
我姓胡,negative,我 姓 胡,"{'label': 'neutral', 'score': 0.5509622693061829}"
我知道,negative,我 知道,"{'label': 'negative', 'score': 0.5188174843788147}"
福小姐,negative,福 小姐,"{'label': 'negative', 'score': 0.4251694977283478}"
你还是叫我一菲吧,negative,你 还是 叫 我 一 菲 吧,"{'label': 'neutral', 'score': 0.49131694436073303}"
一菲冷静啊,negative,一 菲 冷静 啊,"{'label': 'negative', 'score': 0.8608678579330444}"
师傅你继续 这次我克制一下,negative,师傅 你 继续 这次 我 克制 一下,"{'label': 'negative', 'score': 0.859984278678894}"
好的,negative,好的,"{'label': 'neutral', 'score': 0.5890063047409058}"
Sorry,negative,Sorry,"{'label': 'positive', 'score': 0.5457102060317993}"
你没事吧,negative,你 没事 吧,"{'label': 'negative', 'score': 0.8652828931808472}"
幸亏我也是练过的人,negative,幸亏 我 也 是 练 过 的 人,"{'label': 'positive', 'score': 0.8743734955787659}"
让我调一下真气,negative,让 我 调 一下 真气,"{'label': 'neutral', 'score': 0.9328040480613708}"
悠悠 关谷呢,negative,悠悠 关谷 呢,"{'label': 'positive', 'score': 0.4715190529823303}"
天晓得 大概又去忙调查了吧,negative,天晓得 大概 又 去 忙 调查 了 吧,"{'label': 'negative', 'score': 0.43349459767341614}"
他还在纠结快快递单的事,negative,他 还 在 纠结 快快 递单 的 事,"{'label': 'negative', 'score': 0.8382219672203064}"
他觉得理由说不通,negative,他 觉得 理由 说 不通,"{'label': 'negative', 'score': 0.6832549571990967}"
都快成强迫症了,negative,都 快 成强 迫症 了,"{'label': 'negative', 'score': 0.9319568872451782}"
悠悠 我刚刚想出一个版本,positive,悠悠 我 刚刚 想出 一个 版本,"{'label': 'negative', 'score': 0.6686505675315857}"
不 我听说一个故事,neutral,不 我 听说 一个 故事,"{'label': 'negative', 'score': 0.6486560106277466}"
或许可以解释验孕棒的事,neutral,或许 可以 解释 验 孕棒 的 事,"{'label': 'negative', 'score': 0.5746918320655823}"
我刚刚听小区的人说,neutral,我 刚刚 听 小区 的 人 说,"{'label': 'neutral', 'score': 0.855172336101532}"
